Id,Label,sexlabel,type
256,William Ecenbarger,masculino,true
257,Frank W. Buxton,masculino,true
258,Dar Yasin,masculino,true
259,Rudyard Kipling,masculino,true
260,David Shaw,masculino,true
261,Terry Southern,masculino,true
262,Irvin S. Cobb,masculino,true
263,Pablo Neruda,masculino,true
264,Mary Jordan,femenino,true
265,Mei Fong,femenino,true
266,Jean Vautrin,masculino,true
267,Francis Walder,masculino,true
268,Thomas Mann,masculino,true
269,Lionel Shriver,femenino,true
270,John Edgar Wideman,masculino,true
271,Graham Joyce,masculino,true
272,Sherman Alexie,masculino,true
273,Dexter Filkins,masculino,true
274,Malcolm Johnson,masculino,true
275,Pir Zubair Shah,masculino,true
276,Stephen Schiff,masculino,true
277,Jaroslav Seifert,masculino,true
278,Eyvind Johnson,masculino,true
279,Antoine de Saint-Exupéry,masculino,true
280,Miguel Torga,masculino,true
281,Claude Simon,masculino,true
282,Yann Queffélec,masculino,true
283,Léon Frapié,masculino,true
284,Jacques Laurent,masculino,true
285,Jean Rouaud,masculino,true
286,Amélie Nothomb,femenino,true
287,Jhumpa Lahiri,femenino,true
288,Sophia de Mello Breyner,femenino,true
289,Lucía Etxebarria,femenino,true
290,Derek Walcott,masculino,true
291,Frans Eemil Sillanpää,masculino,true
292,James Gould Cozzens,masculino,true
293,Yannis Behrakis,masculino,true
294,Roman Anin,masculino,true
295,John Moore,masculino,true
296,José Saramago,masculino,true
297,Roger Martin du Gard,masculino,true
298,Aleksandr Solzhenitsyn,masculino,true
299,Gioconda Belli,femenino,true
300,Calixthe Beyala,femenino,true
301,Stephanie Sinclair,femenino,true
302,Jane Spencer,femenino,true
303,Georges Bernanos,masculino,true
304,William Trevor,masculino,true
305,Karl Adolph Gjellerup,masculino,true
306,Edward P. Jones,masculino,true
307,Peter Matthew Hillsman Taylor,masculino,true
308,James Tabor,masculino,true
309,Kelly Link,femenino,true
310,Shirley Hazzard,femenino,true
311,Verner von Heidenstam,masculino,true
312,Patrick White,masculino,true
313,José Echegaray,masculino,true
314,Władysław Bartoszewski,masculino,true
315,Mia Couto,masculino,true
316,Lev Kópelev,masculino,true
317,Liao Yiwu,masculino,true
318,Juan José Saer,masculino,true
319,José Asenjo Sedano,masculino,true
320,Sebastião Salgado,masculino,true
321,Álvaro Pombo,masculino,true
322,Rosa Regàs,femenino,true
323,Johannes Vilhelm Jensen,masculino,true
324,Carmen Laforet,femenino,true
325,Paulina Chiziane,femenino,true
326,Rachel de Queiroz,femenino,true
327,Deborah Eisenberg,femenino,true
328,Saint-John Perse,masculino,true
329,Ángela Vallvey,femenino,true
330,Maruja Torres,femenino,true
331,Carmen Martín Gaite,femenino,true
332,Juan Ramón Jiménez,masculino,true
333,Agustina Bessa-Luís,femenino,true
334,Fernando Arrabal,masculino,true
335,György Konrád,masculino,true
336,Giovanni Arpino,masculino,true
337,Giorgio Pressburger,masculino,true
338,Guillermo Martínez,masculino,true
339,Yaşar Kemal,masculino,true
340,Raduan Nassar,masculino,true
341,Barbara Davidson,femenino,true
342,Esther Htusan,femenino,true
343,Jessica Rinaldi,femenino,true
344,Emily Steel,femenino,true
345,Stephanie McCrummen,femenino,true
346,Clara Sánchez,femenino,true
347,Lygia Fagundes Telles,femenino,true
348,Harry Martinson,masculino,true
349,Émile Henriot,masculino,true
350,Ferreira Gullar,masculino,true
351,Juan José Millás,masculino,true
352,Erik Axel Karlfeldt,masculino,true
353,Shmuel Yosef Agnón,masculino,true
354,Pierre Benoît,masculino,true
355,Bertrand Poirot-Delpech,masculino,true
356,Pierre-Jean Rémy,masculino,true
357,Chico Buarque,masculino,true
358,António Lobo Antunes,masculino,true
359,Ronald Glenn Callvert,masculino,true
360,Dibya Ranjan Giri,masculino,true
361,Gaylord Shaw,masculino,true
362,John Carreyrou,masculino,true
363,Boris Yurchenko,masculino,true
364,Maria Velho da Costa,femenino,true
365,Giorgos Seferis,masculino,true
366,Sorj Chalandon,masculino,true
367,Rubem Fonseca,masculino,true
368,Samuel Beckett,masculino,true
369,Ernesto Ferrero,masculino,true
370,Pepetela,masculino,true
371,Philippe Beaussant,masculino,true
372,Laurent Binet,masculino,true
373,Jean d'Ormesson,masculino,true
374,Joseph Kessel,masculino,true
375,T. S. Eliot,masculino,true
376,Manuel António Pina,masculino,true
377,José Luandino Vieira,masculino,true
378,Eugénio de Andrade,masculino,true
379,José Craveirinha,masculino,true
380,Henrik Pontoppidan,masculino,true
381,Kay Boyle,femenino,true
382,Vergílio Ferreira,masculino,true
383,Eduardo Lourenço,masculino,true
384,Saul Friedländer,masculino,true
385,Jean de La Varende,masculino,true
386,Francis Ponge,masculino,true
387,Herta Müller,femenino,true
388,Alicia Giménez Bartlett,femenino,true
389,Harold Brodkey,masculino,true
390,Albert Maltz,masculino,true
391,Vicente Aleixandre,masculino,true
392,Odysséas Elýtis,masculino,true
393,William Butler Yeats,masculino,true
394,Jean-Marie Gustave Le Clézio,masculino,true
395,Borís Pasternak,masculino,true
396,Victor Gollancz,masculino,true
397,Willem Visser 't Hooft,masculino,true
398,Germano Almeida,masculino,true
399,Anne Wiazemsky,femenino,true
400,Jean Raspail,masculino,true
401,Hédi Kaddour,masculino,true
402,Alphonse Boudard,masculino,true
403,Jean Orieux,masculino,true
404,Carl Spitteler,masculino,true
405,Maggie O'Farrell,femenino,true
406,Kamila Shamsie,femenino,true
407,Lola Shoneyin,femenino,true
408,Knut Hamsun,masculino,true
409,Maria Bellonci,femenino,true
